conversation_id,conversation_text,task_domain,channel,Conversational Authenticity,Conversation Type,Communication Medium,Manipulation Type,Malicious,Threat Severity,Impersonation,urgency_score_0_10,Emotional State,Verification Behavior,suggested_action
10790,"The message imitates the university portal, creates a deadline around university administration, adds a reference number without a traceable source, and discourages the receiver from verifying independently. The receiver is not given a safe chance to confirm the claim through the university portal.",university administration,SMS,Fake,Voice-Cloned Conversation,Voice Transcript,Synthetic Speech,Banking Scam,Critical,Child,9,guilt,Requests secrecy,Block and Escalate
10791,"Kashif's message begins with a human note about confirming a lab test schedule, then becomes unusually polished, ignores a direct question and repeats the instruction, and adds persuasive pressure near the end. The suspicious part is that the sender avoids naming the branch or office while demanding that the receiver pay a small release fee.",mobile wallet,Chat App,Suspicious,Human + AI Edited Conversation,Chat App,Polished Manipulation,Scholarship Scam,High,Customer Support,6,authority,Avoids verification,Warn User
10792,"The sender creates a believable story around asking about lunch plans, but then mentions a deadline that was never announced, applies panic pressure, and requests that the receiver confirm a login code. The conversation attempts to control the receiver's next action rather than allow independent verification.",loan approval,Chat App,Fake,Voice-Cloned Conversation,Voice Transcript,Synthetic Speech,Banking Scam,Critical,Doctor,10,panic,Pushes immediate action,Block and Escalate
10793,"The text uses smooth transitions and complete sentences about utility billing, yet it feels artificial because it ignores the practical question raised earlier. The receiver is not given a safe chance to confirm the claim through the conference secretariat.",utility billing,Email,Fake,AI-Generated Text Conversation,Email,Template-Like Generation,None,Medium,Bank Officer,6,none,Allows verification,Verify First
10794,"The conversation becomes risky because it uses urgency pressure, mentions a deadline that was never announced, and pushes the receiver to pay a small release fee without normal verification. The conversation attempts to control the receiver's next action rather than allow independent verification.",insurance claim,Email,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Urgency Pressure,Travel Booking Scam,High,Courier Agent,9,urgency,Refuses call-back,Warn User
10795,"A fake-looking conversation about charity donation asks the receiver to click an unknown payment link, while the sender adds emotional pressure after the receiver hesitates and avoids a clear identity check. The risk increases because the message links charity donation with urgency and immediate compliance.",charity donation,SMS,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Authority Spoofing,Investment Scam,Critical,Relative,9,urgency,Avoids verification,Block and Escalate
10796,"The message imitates the scholarship office, creates a deadline around insurance claim, claims the old number is unavailable, and discourages the receiver from verifying independently. The conversation attempts to control the receiver's next action rather than allow independent verification.",insurance claim,Social Media DM,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Emotional Manipulation,Job Scam,Critical,Customer Support,10,fear,Avoids verification,Block and Escalate
10797,"The conversation becomes risky because it uses guilt pressure, changes the topic when asked for proof, and pushes the receiver to send a one-time password without normal verification. The risk increases because the message links university administration with guilt and immediate compliance.",university administration,Social Media DM,Fake,Scam-Oriented Deepfake Conversation,WhatsApp,Authority Spoofing,Banking Scam,High,Friend,10,guilt,Pushes immediate action,Warn User
10798,"A long explanation about online shopping appears polished but shallow, with generic reassurance, claims the old number is unavailable, and no specific shared background. The conversation attempts to control the receiver's next action rather than allow independent verification.",online shopping,Email,Fake,AI-Generated Text Conversation,Email,Synthetic Text Generation,None,Low,HR Manager,4,none,Avoids verification,Allow
10799,The text appears edited by AI because it combines ordinary conversational fragments with a refined call to action about hospital appointment. The suspicious part is that the sender adds a reference number without a traceable source while demanding that the receiver click an unknown payment link.,hospital appointment,Email,Suspicious,Human + AI Edited Conversation,Text,AI-Assisted Rewriting,None,Medium,HR Manager,8,sympathy,Allows verification,Verify First
10800,"The sender creates a believable story around confirming a lab test schedule, but then shares a shortened link instead of an official portal, applies panic pressure, and requests that the receiver avoid calling the official office. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",clinic follow-up,Email,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Credential Harvesting,Banking Scam,High,Parent,10,panic,Refuses call-back,Warn User
10801,"A suspicious sender pretends to be Police Officer, claims there is a problem in university administration, changes the topic when asked for proof, and asks the receiver to share a wallet PIN. The suspicious part is that the sender claims the system will automatically close the request while demanding that the receiver share a wallet PIN.",university administration,Email,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Credential Harvesting,Banking Scam,Critical,Police Officer,9,fear,Refuses call-back,Block and Escalate
10802,"The conversation mixes a realistic personal opening with AI-like rewritten sentences, making the request about telecom support sound smoother and more strategic. The receiver is not given a safe chance to confirm the claim through the insurance office.",telecom support,Email,Suspicious,Human + AI Edited Conversation,Text,Polished Manipulation,None,High,Investment Advisor,8,reward,Pushes immediate action,Warn User
10803,"The generated-looking message provides neat steps for coordinating with a colleague, but the tone is too uniform and the sender shares a shortened link instead of an official portal. The conversation attempts to control the receiver's next action rather than allow independent verification.",electricity complaint,Chat App,Fake,AI-Generated Text Conversation,Email,LLM-Generated Reply,Account Takeover,Medium,Customer Support,3,none,Pushes immediate action,Verify First
10804,"The message is suspiciously mixed: it begins with informal human wording, then uses formal wording inconsistent with earlier messages and turns into a carefully persuasive request. The receiver is not given a safe chance to confirm the claim through the HR department.",insurance claim,Voice Transcript,Suspicious,Human + AI Edited Conversation,Text,Mixed Human-AI Editing,Scholarship Scam,High,HR Manager,4,sympathy,Allows verification,Warn User
10805,"A fake-looking conversation about loan approval asks the receiver to approve a suspicious request, while the sender pushes the receiver away from normal support channels and avoids a clear identity check. The receiver is not given a safe chance to confirm the claim through the travel agency.",loan approval,WhatsApp,Fake,Voice-Cloned Conversation,Voice Transcript,Voice Cloning,Emergency Financial Scam,High,Doctor,8,guilt,Refuses call-back,Warn User
10806,"The text uses smooth transitions and complete sentences about school communication, yet it feels artificial because it ignores the practical question raised earlier. The suspicious part is that the sender adds a reference number without a traceable source while demanding that the receiver upload an identity document.",school communication,WhatsApp,Fake,AI-Generated Text Conversation,Text,Automated Persuasion,None,Medium,HR Manager,5,none,Avoids verification,Verify First
10807,"The dialogue is consistent with genuine communication because it discusses clarifying a software installation issue, mentions a mutually known detail, and contains no hidden identity claim. The receiver can verify it through the pharmacy desk, so the risk remains limited.",social media account,Voice Transcript,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,1,none,Provides normal verification,Allow
10808,"The message imitates the clinic reception, creates a deadline around insurance claim, says the issue cannot wait until morning, and discourages the receiver from verifying independently. The receiver is not given a safe chance to confirm the claim through the clinic reception.",insurance claim,Chat App,Fake,Scam-Oriented Deepfake Conversation,WhatsApp,Authority Spoofing,Account Takeover,Critical,HR Manager,8,fear,Requests secrecy,Block and Escalate
10809,"The message is suspiciously mixed: it begins with informal human wording, then adds emotional pressure after the receiver hesitates and turns into a carefully persuasive request. The suspicious part is that the sender says the issue cannot wait until morning while demanding that the receiver click an unknown payment link.",tax office,Email,Suspicious,Human + AI Edited Conversation,Chat App,AI-Assisted Rewriting,Charity Scam,Medium,None,8,authority,Avoids verification,Verify First
10810,"The reply about checking whether a form was received in visa documentation is fluent and overly structured; it gives broad guidance, avoids naming the branch or office, and lacks personal conversational memory. The receiver is not given a safe chance to confirm the claim through the visa center.",visa documentation,Chat App,Fake,AI-Generated Text Conversation,Chat App,Automated Persuasion,Phishing,Medium,HR Manager,4,confusion,Allows verification,Verify First
10811,"The chat has mass-message features, including reward wording, gives no verifiable institutional contact, and a request to reply with card details. The risk increases because the message links scholarship application with reward and immediate compliance.",scholarship application,WhatsApp,Fake,Bot-Generated Conversation,SMS,Bot Script,Parcel Scam,Critical,Customer Support,9,reward,Requests secrecy,Block and Escalate
10812,"The conversation shows automated behavior because every reply redirects the receiver toward the same action, even after a different question is asked. The suspicious part is that the sender ignores a direct question and repeats the instruction while demanding that the receiver share a wallet PIN.",banking,Voice Transcript,Fake,Bot-Generated Conversation,Social Media DM,Scripted Persuasion,Tax Refund Scam,High,Bank Officer,7,urgency,Pushes immediate action,Warn User
10813,"The generated-looking message provides neat steps for confirming a lab test schedule, but the tone is too uniform and the sender asks the receiver not to discuss the matter. The receiver is not given a safe chance to confirm the claim through the support center.",exam registration,SMS,Fake,AI-Generated Text Conversation,Text,Automated Persuasion,None,Low,HR Manager,3,trust,Allows verification,Allow
10814,"James follows up with the exam office about discussing a project deadline, but the message remains safe because it avoids suspicious links and avoids emotional pressure. The conversation remains focused on coordination rather than pressure or reward.",job recruitment,Chat App,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,2,none,Provides normal verification,Allow
10815,"Arsalan writes about asking for class notes in the telecom support setting, and the conversation stays practical because the sender does not pressure the receiver and simply asks the receiver to confirm the address. The receiver can verify it through the government helpdesk, so the risk remains limited.",telecom support,Voice Transcript,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,1,none,Provides normal verification,Allow
10816,"The text uses smooth transitions and complete sentences about exam registration, yet it feels artificial because it ignores the practical question raised earlier. The receiver is not given a safe chance to confirm the claim through the insurance office.",exam registration,Email,Fake,AI-Generated Text Conversation,Text,Synthetic Text Generation,None,Low,HR Manager,3,confusion,Allows verification,Allow
10817,"A suspicious sender pretends to be Clinic Staff, claims there is a problem in tax office, offers a reward for immediate confirmation, and asks the receiver to avoid calling the official office. The conversation attempts to control the receiver's next action rather than allow independent verification.",tax office,Social Media DM,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Urgency Pressure,Job Scam,Critical,Clinic Staff,7,authority,Refuses call-back,Block and Escalate
10818,"A partially human message discusses coordinating with a colleague, but the final request is reframed with polished language, claims the old number is unavailable, and stronger compliance pressure. The suspicious part is that the sender adds emotional pressure after the receiver hesitates while demanding that the receiver avoid calling the official office.",school communication,WhatsApp,Suspicious,Human + AI Edited Conversation,Chat App,Mixed Human-AI Editing,Charity Scam,Medium,HR Manager,4,authority,Allows verification,Verify First
10819,"The sender creates a believable story around asking for a location pin, but then adds a reference number without a traceable source, applies sympathy pressure, and requests that the receiver share a wallet PIN. The conversation attempts to control the receiver's next action rather than allow independent verification.",travel booking,WhatsApp,Fake,Voice-Cloned Conversation,Voice Transcript,Synthetic Speech,Banking Scam,High,Doctor,8,sympathy,Pushes immediate action,Warn User
10820,"A long explanation about mobile wallet appears polished but shallow, with generic reassurance, adds emotional pressure after the receiver hesitates, and no specific shared background. The risk increases because the message links mobile wallet with confusion and immediate compliance.",mobile wallet,Email,Fake,AI-Generated Text Conversation,Email,Template-Like Generation,Job Scam,Medium,Bank Officer,4,confusion,Pushes immediate action,Verify First
10821,"A scripted message from the travel agency claims an opportunity is available, uses generic greetings, and pushes the receiver to pay a small release fee. The suspicious part is that the sender asks for a screenshot of a confirmation code while demanding that the receiver send a one-time password.",conference registration,SMS,Fake,Bot-Generated Conversation,Social Media DM,Mass Messaging,Tax Refund Scam,Critical,Bank Officer,7,reward,Pushes immediate action,Block and Escalate
10822,The text appears edited by AI because it combines ordinary conversational fragments with a refined call to action about insurance claim. The suspicious part is that the sender shares a shortened link instead of an official portal while demanding that the receiver send a one-time password.,insurance claim,Chat App,Suspicious,Human + AI Edited Conversation,Chat App,Polished Manipulation,E-commerce Scam,High,Investment Advisor,5,reward,Avoids verification,Warn User
10823,"Mehwish follows up with the pharmacy desk about sending a polite reminder, but the message remains safe because it does not request passwords or OTPs and avoids emotional pressure. The message includes normal context and does not ask the receiver to bypass official steps.",charity donation,Voice Transcript,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,1,trust,Provides normal verification,Allow
10824,"The reply about checking whether a form was received in parcel delivery is fluent and overly structured; it gives broad guidance, ignores a direct question and repeats the instruction, and lacks personal conversational memory. The suspicious part is that the sender asks for a screenshot of a confirmation code while demanding that the receiver approve a suspicious request.",parcel delivery,SMS,Fake,AI-Generated Text Conversation,Text,Template-Like Generation,Job Scam,Medium,Customer Support,4,authority,Allows verification,Verify First
10825,The text appears edited by AI because it combines ordinary conversational fragments with a refined call to action about government service. The suspicious part is that the sender uses a new contact number without explanation while demanding that the receiver upload an identity document.,government service,SMS,Suspicious,Human + AI Edited Conversation,Email,AI-Assisted Rewriting,Scholarship Scam,Medium,Customer Support,4,reward,Avoids verification,Verify First
10826,"A suspicious sender pretends to be Relative, claims there is a problem in tax office, shares a shortened link instead of an official portal, and asks the receiver to reply with card details. The suspicious part is that the sender changes the topic when asked for proof while demanding that the receiver send a one-time password.",tax office,Chat App,Fake,Voice-Cloned Conversation,Voice Transcript,Speaker Impersonation,Emergency Financial Scam,High,Relative,7,fear,Pushes immediate action,Warn User
10827,"The account holder is told that connects clinic follow-up with a sudden warning, claims the system will automatically close the request, and pressures the receiver to move the chat to another number before checking the source. The risk increases because the message links clinic follow-up with sympathy and immediate compliance.",clinic follow-up,WhatsApp,Fake,Voice-Cloned Conversation,Voice Transcript,Synthetic Speech,Emergency Financial Scam,Critical,Parent,9,sympathy,Pushes immediate action,Block and Escalate
10828,"A fake-looking conversation about job recruitment asks the receiver to install a remote access app, while the sender shares a shortened link instead of an official portal and avoids a clear identity check. The conversation attempts to control the receiver's next action rather than allow independent verification.",job recruitment,Social Media DM,Fake,Scam-Oriented Deepfake Conversation,Text,Credential Harvesting,E-commerce Scam,Critical,Insurance Agent,9,authority,Pushes immediate action,Block and Escalate
10829,"Sana writes about asking for a location pin in the travel booking setting, and the conversation stays practical because the sender uses ordinary conversational language and simply asks the receiver to confirm attendance. The message includes normal context and does not ask the receiver to bypass official steps.",travel booking,WhatsApp,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,1,none,Allows verification,Allow
10830,"A routine message from Arsalan discusses clarifying a software installation issue; the sender does not pressure the receiver, keeps the tone calm, and gives no instruction involving money or secrecy. The message includes normal context and does not ask the receiver to bypass official steps.",family emergency,Chat App,Real,Genuine Human Conversation,Email,None,None,Low,None,1,trust,No verification needed,Allow
10831,The text appears edited by AI because it combines ordinary conversational fragments with a refined call to action about scholarship application. The receiver is not given a safe chance to confirm the claim through the pharmacy desk.,scholarship application,Chat App,Suspicious,Human + AI Edited Conversation,Text,Mixed Human-AI Editing,Job Scam,High,None,3,authority,Pushes immediate action,Warn User
10832,"A partially human message discusses discussing a project deadline, but the final request is reframed with polished language, pushes the receiver away from normal support channels, and stronger compliance pressure. The risk increases because the message links internet service with reward and immediate compliance.",internet service,Chat App,Suspicious,Human + AI Edited Conversation,Text,Mixed Human-AI Editing,Charity Scam,High,Friend,8,reward,Avoids verification,Warn User
10833,"A fake-looking conversation about electricity complaint asks the receiver to avoid calling the official office, while the sender mentions a deadline that was never announced and avoids a clear identity check. The conversation attempts to control the receiver's next action rather than allow independent verification.",electricity complaint,Social Media DM,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Credential Harvesting,Lottery Scam,Critical,Government Officer,9,fear,Refuses call-back,Block and Escalate
10834,"The reply about clarifying a software installation issue in investment platform is fluent and overly structured; it gives broad guidance, claims the old number is unavailable, and lacks personal conversational memory. The suspicious part is that the sender claims the old number is unavailable while demanding that the receiver transfer money quickly.",investment platform,SMS,Fake,AI-Generated Text Conversation,Chat App,Template-Like Generation,Phishing,Low,Bank Officer,5,confusion,Allows verification,Allow
10835,"A routine message from Ali discusses following up on a courier delay; the sender does not introduce a sudden emergency, keeps the tone calm, and gives no instruction involving money or secrecy. The sender gives the receiver enough time to check the details before replying.",hospital appointment,Email,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,1,trust,Allows verification,Allow
10836,"The text uses smooth transitions and complete sentences about travel booking, yet it feels artificial because it ignores the practical question raised earlier. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",travel booking,WhatsApp,Fake,AI-Generated Text Conversation,Chat App,Template-Like Generation,Account Takeover,Medium,Bank Officer,5,trust,Pushes immediate action,Verify First
10837,"The dialogue is consistent with genuine communication because it discusses confirming a lab test schedule, does not introduce a sudden emergency, and contains no hidden identity claim. The request is linked to confirming a lab test schedule, and no confidential credential is requested.",conference registration,SMS,Real,Genuine Human Conversation,Email,None,None,Low,None,1,trust,Allows verification,Allow
10838,"Ali writes about following up on an appointment in the school communication setting, and the conversation stays practical because the sender does not pressure the receiver and simply asks the receiver to check the appointment slot. The conversation remains focused on coordination rather than pressure or reward.",school communication,Email,Real,Genuine Human Conversation,Email,None,None,Low,None,0,none,Provides normal verification,Allow
10839,"A bot-like sender announces a benefit linked to utility billing, mentions a delayed verification window, and repeatedly asks the receiver to confirm a login code. The risk increases because the message links utility billing with reward and immediate compliance.",utility billing,SMS,Fake,Bot-Generated Conversation,SMS,Bot Script,Parcel Scam,High,Courier Agent,8,reward,Pushes immediate action,Warn User
10840,"A suspicious sender pretends to be University Clerk, claims there is a problem in online shopping, gives no verifiable institutional contact, and asks the receiver to approve a suspicious request. The conversation attempts to control the receiver's next action rather than allow independent verification.",online shopping,SMS,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Emotional Manipulation,Charity Scam,High,University Clerk,9,panic,Avoids verification,Warn User
10841,"The message imitates the government helpdesk, creates a deadline around insurance claim, shares a shortened link instead of an official portal, and discourages the receiver from verifying independently. The conversation attempts to control the receiver's next action rather than allow independent verification.",insurance claim,Social Media DM,Fake,Scam-Oriented Deepfake Conversation,Text,Credential Harvesting,Banking Scam,Critical,Government Officer,10,authority,Requests secrecy,Block and Escalate
10842,"The sender creates a believable story around confirming a supervisor meeting, but then uses unusually polished wording for a personal emergency, applies panic pressure, and requests that the receiver click an unknown payment link. The conversation attempts to control the receiver's next action rather than allow independent verification.",school communication,Social Media DM,Fake,Voice-Cloned Conversation,Voice Transcript,Voice Cloning,Emergency Financial Scam,Critical,Relative,8,panic,Refuses call-back,Block and Escalate
10843,"The sender creates a believable story around confirming a lab test schedule, but then uses a new contact number without explanation, applies fear pressure, and requests that the receiver install a remote access app. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",exam registration,SMS,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Urgency Pressure,Account Takeover,Critical,Doctor,8,fear,Refuses call-back,Block and Escalate
10844,"The exchange concerns asking for a location pin, where Mariam provides a reasonable explanation, does not ask for secrecy, and waits for the receiver to respond normally. The sender gives the receiver enough time to check the details before replying.",utility billing,Chat App,Real,Genuine Human Conversation,Email,None,None,Low,None,1,none,Provides normal verification,Allow
10845,"The conversation shows automated behavior because every reply redirects the receiver toward the same action, even after a different question is asked. The suspicious part is that the sender mentions a deadline that was never announced while demanding that the receiver send a one-time password.",social media account,Chat App,Fake,Bot-Generated Conversation,Chat App,Mass Messaging,Lottery Scam,Medium,Bank Officer,6,authority,Requests secrecy,Verify First
10846,"The message looks official because it connects remote work with a sudden warning, uses unusually polished wording for a personal emergency, and pressures the receiver to reply with card details before checking the source. The suspicious part is that the sender uses unusually polished wording for a personal emergency while demanding that the receiver move the chat to another number.",remote work,Email,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Impersonation,Travel Booking Scam,High,Friend,9,authority,Requests secrecy,Warn User
10847,"A bot-like sender announces a benefit linked to government service, ignores a direct question and repeats the instruction, and repeatedly asks the receiver to move the chat to another number. The risk increases because the message links government service with reward and immediate compliance.",government service,Email,Fake,Bot-Generated Conversation,SMS,Scripted Persuasion,Lottery Scam,Medium,Customer Support,8,reward,Avoids verification,Verify First
10848,"The sender creates a believable story around requesting a revised file, but then uses formal wording inconsistent with earlier messages, applies guilt pressure, and requests that the receiver move the chat to another number. The suspicious part is that the sender asks the receiver not to discuss the matter while demanding that the receiver upload an identity document.",insurance claim,SMS,Fake,Scam-Oriented Deepfake Conversation,WhatsApp,Urgency Pressure,Tax Refund Scam,High,Doctor,10,guilt,Requests secrecy,Warn User
10849,"Mariam follows up with the online store about confirming a supervisor meeting, but the message remains safe because it gives a clear non-financial purpose and avoids emotional pressure. The sender gives the receiver enough time to check the details before replying.",remote work,SMS,Real,Genuine Human Conversation,Email,None,None,Low,None,1,none,Allows verification,Allow
10850,"The conversation mixes a realistic personal opening with AI-like rewritten sentences, making the request about travel booking sound smoother and more strategic. The risk increases because the message links travel booking with sympathy and immediate compliance.",travel booking,WhatsApp,Suspicious,Human + AI Edited Conversation,Email,Polished Manipulation,E-commerce Scam,High,None,4,sympathy,Pushes immediate action,Warn User
10851,"The exchange concerns asking for a location pin, where Sameer provides a reasonable explanation, keeps the conversation focused on the original topic, and waits for the receiver to respond normally. The conversation remains focused on coordination rather than pressure or reward.",electricity complaint,SMS,Real,Genuine Human Conversation,Text,None,None,Low,None,1,none,Provides normal verification,Allow
10852,"A routine message from Michael discusses confirming a payment receipt; the sender gives a clear non-financial purpose, keeps the tone calm, and gives no instruction involving money or secrecy. The sender gives the receiver enough time to check the details before replying.",exam registration,Social Media DM,Real,Genuine Human Conversation,Text,None,None,Low,None,0,none,No verification needed,Allow
10853,"The caller sounds familiar and connects job recruitment with a sudden warning, adds a reference number without a traceable source, and pressures the receiver to send a one-time password before checking the source. The conversation attempts to control the receiver's next action rather than allow independent verification.",job recruitment,Social Media DM,Fake,Voice-Cloned Conversation,Voice Transcript,Audio Identity Spoofing,Emergency Financial Scam,Critical,Child,7,guilt,Pushes immediate action,Block and Escalate
10854,"A fake-looking conversation about mobile wallet asks the receiver to reply with card details, while the sender offers a reward for immediate confirmation and avoids a clear identity check. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",mobile wallet,Voice Transcript,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Impersonation,Travel Booking Scam,High,Customer Support,10,guilt,Refuses call-back,Warn User
10855,"The dialogue is consistent with genuine communication because it discusses confirming an interview slot, refers to a previous meeting accurately, and contains no hidden identity claim. The conversation remains focused on coordination rather than pressure or reward.",clinic follow-up,SMS,Real,Genuine Human Conversation,Email,None,None,Low,None,2,trust,Allows verification,Allow
10856,"The message imitates the bank, creates a deadline around utility billing, adds emotional pressure after the receiver hesitates, and discourages the receiver from verifying independently. The suspicious part is that the sender refers to a blocked dashboard notification while demanding that the receiver confirm a login code.",utility billing,Chat App,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Emotional Manipulation,Identity Fraud,High,Government Officer,10,authority,Avoids verification,Warn User
10857,"A suspicious sender pretends to be Friend, claims there is a problem in job recruitment, adds a reference number without a traceable source, and asks the receiver to move the chat to another number. The conversation attempts to control the receiver's next action rather than allow independent verification.",job recruitment,WhatsApp,Fake,Voice-Cloned Conversation,Voice Transcript,Voice Cloning,Banking Scam,High,Friend,8,fear,Pushes immediate action,Warn User
10858,"The conversation mixes a realistic personal opening with AI-like rewritten sentences, making the request about school communication sound smoother and more strategic. The suspicious part is that the sender uses unusually polished wording for a personal emergency while demanding that the receiver upload an identity document.",school communication,Social Media DM,Suspicious,Human + AI Edited Conversation,Text,Persuasive Reframing,Investment Scam,Medium,Customer Support,6,trust,Avoids verification,Verify First
10859,"The sender creates a believable story around asking for class notes, but then claims the old number is unavailable, applies urgency pressure, and requests that the receiver upload an identity document. The risk increases because the message links medical lab report with urgency and immediate compliance.",medical lab report,Chat App,Fake,Scam-Oriented Deepfake Conversation,Text,Impersonation,Emergency Financial Scam,Critical,Friend,10,urgency,Avoids verification,Block and Escalate
10860,"A partially human message discusses confirming document submission, but the final request is reframed with polished language, offers a reward for immediate confirmation, and stronger compliance pressure. The receiver is not given a safe chance to confirm the claim through the scholarship office.",insurance claim,Chat App,Suspicious,Human + AI Edited Conversation,Text,Persuasive Reframing,Job Scam,Medium,Friend,5,authority,Allows verification,Verify First
10861,"The sender creates a believable story around asking for class notes, but then changes the topic when asked for proof, applies authority pressure, and requests that the receiver pay a small release fee. The receiver is not given a safe chance to confirm the claim through the bank.",banking,Social Media DM,Fake,Scam-Oriented Deepfake Conversation,Text,Authority Spoofing,Medical Scam,Critical,Government Officer,10,authority,Avoids verification,Block and Escalate
10862,"The message is suspiciously mixed: it begins with informal human wording, then adds emotional pressure after the receiver hesitates and turns into a carefully persuasive request. The receiver is not given a safe chance to confirm the claim through the mobile wallet team.",property rental,SMS,Suspicious,Human + AI Edited Conversation,Text,Polished Manipulation,Scholarship Scam,High,Customer Support,7,authority,Pushes immediate action,Warn User
10863,"The message looks official because it connects travel booking with a sudden warning, asks the receiver not to discuss the matter, and pressures the receiver to avoid calling the official office before checking the source. The receiver is not given a safe chance to confirm the claim through the conference secretariat.",travel booking,Social Media DM,Fake,Voice-Cloned Conversation,Voice Transcript,Speaker Impersonation,Medical Scam,High,Child,7,panic,Requests secrecy,Warn User
10864,"A routine message from Fahad discusses requesting a revised file; the sender uses ordinary conversational language, keeps the tone calm, and gives no instruction involving money or secrecy. The sender gives the receiver enough time to check the details before replying.",government service,Chat App,Real,Genuine Human Conversation,Email,None,None,Low,None,1,none,No verification needed,Allow
10865,The automated conversation does not respond meaningfully; it repeats instructions about charity donation and pressures the receiver to act. The risk increases because the message links charity donation with urgency and immediate compliance.,charity donation,SMS,Fake,Bot-Generated Conversation,SMS,Scripted Persuasion,Account Takeover,Medium,Courier Agent,9,urgency,Requests secrecy,Verify First
10866,"Maryam follows up with the government helpdesk about requesting updated bank details, but the message remains safe because it avoids suspicious links and avoids emotional pressure. The receiver can verify it through the government helpdesk, so the risk remains limited.",electricity complaint,Email,Real,Genuine Human Conversation,Text,None,None,Medium,None,0,none,Allows verification,Verify First
10867,"A suspicious sender pretends to be Tax Consultant, claims there is a problem in scholarship application, adds emotional pressure after the receiver hesitates, and asks the receiver to confirm a login code. The risk increases because the message links scholarship application with fear and immediate compliance.",scholarship application,Chat App,Fake,Scam-Oriented Deepfake Conversation,Text,Urgency Pressure,Identity Fraud,High,Tax Consultant,9,fear,Requests secrecy,Warn User
10868,"The sender repeats support-style phrases about banking, ignores clarification, and keeps moving the user toward a suspicious external form. The risk increases because the message links banking with curiosity and immediate compliance.",banking,Voice Transcript,Fake,Bot-Generated Conversation,Social Media DM,Bot Script,OTP Theft,Critical,Courier Agent,9,curiosity,Pushes immediate action,Block and Escalate
10869,"The conversation becomes risky because it uses guilt pressure, uses a new contact number without explanation, and pushes the receiver to avoid calling the official office without normal verification. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",banking,Email,Fake,Voice-Cloned Conversation,Voice Transcript,Synthetic Speech,Medical Scam,High,Relative,8,guilt,Requests secrecy,Warn User
10870,"A suspicious sender pretends to be Relative, claims there is a problem in exam registration, claims the system will automatically close the request, and asks the receiver to avoid calling the official office. The suspicious part is that the sender pushes the receiver away from normal support channels while demanding that the receiver install a remote access app.",exam registration,Social Media DM,Fake,Scam-Oriented Deepfake Conversation,WhatsApp,Authority Spoofing,OTP Theft,High,Relative,10,fear,Pushes immediate action,Warn User
10871,"A fake-looking conversation about tax office asks the receiver to send a one-time password, while the sender avoids naming the branch or office and avoids a clear identity check. The receiver is not given a safe chance to confirm the claim through the tax support desk.",tax office,Chat App,Fake,Voice-Cloned Conversation,Voice Transcript,Synthetic Speech,Banking Scam,High,Child,9,guilt,Pushes immediate action,Warn User
10872,"A fake-looking conversation about insurance claim asks the receiver to click an unknown payment link, while the sender shares a shortened link instead of an official portal and avoids a clear identity check. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",insurance claim,Chat App,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Impersonation,Identity Fraud,High,Bank Officer,9,guilt,Requests secrecy,Warn User
10873,"The exchange becomes suspicious when it connects pharmacy delivery with a sudden warning, pushes the receiver away from normal support channels, and pressures the receiver to transfer money quickly before checking the source. The receiver is not given a safe chance to confirm the claim through the government helpdesk.",pharmacy delivery,Social Media DM,Fake,Voice-Cloned Conversation,Voice Transcript,Synthetic Speech,Emergency Financial Scam,Critical,Child,10,panic,Requests secrecy,Block and Escalate
10874,"A routine message from Laiba discusses following up on an appointment; the sender uses ordinary conversational language, keeps the tone calm, and gives no instruction involving money or secrecy. The sender gives the receiver enough time to check the details before replying.",internet service,WhatsApp,Real,Genuine Human Conversation,Text,None,None,Low,None,1,none,Allows verification,Allow
